model,label,metric,score
gpt-3.5,WOMEN,precision,0.30939226519337015
gpt-3.5,WOMEN,precision,0.1935483870967742
gpt-3.5,WOMEN,precision,0.2727272727272727
gpt-3.5,WOMEN,precision,0.2303370786516854
gpt-3.5,WOMEN,precision,0.30726256983240224
gpt-3.5,WOMEN,precision,0.2631578947368421
gpt-3.5,WOMEN,precision,0.24050632911392406
gpt-3.5,WOMEN,precision,0.2702702702702703
gpt-3.5,WOMEN,precision,0.2925531914893617
gpt-3.5,WOMEN,precision,0.23529411764705882
gpt-3.5,WOMEN,precision,0.24022346368715083
gpt-3.5,WOMEN,precision,0.3312883435582822
gpt-3.5,WOMEN,precision,0.30303030303030304
gpt-3.5,WOMEN,precision,0.34375
gpt-3.5,WOMEN,precision,0.31843575418994413
gpt-3.5,WOMEN,precision,0.3026315789473684
gpt-3.5,WOMEN,precision,0.2962962962962963
gpt-3.5,WOMEN,precision,0.26519337016574585
gpt-3.5,WOMEN,precision,0.2768361581920904
gpt-3.5,WOMEN,precision,0.2411764705882353
gpt-3.5,WOMEN,precision,0.2786885245901639
gpt-3.5,WOMEN,precision,0.26229508196721313
gpt-3.5,WOMEN,precision,0.26881720430107525
gpt-3.5,WOMEN,precision,0.19653179190751446
gpt-3.5,WOMEN,precision,0.2631578947368421
gpt-3.5,WOMEN,precision,0.25280898876404495
gpt-3.5,WOMEN,precision,0.2356020942408377
gpt-3.5,WOMEN,precision,0.23636363636363636
gpt-3.5,WOMEN,precision,0.26627218934911245
gpt-3.5,WOMEN,precision,0.3193717277486911
gpt-3.5,WOMEN,precision,0.3114754098360656
gpt-3.5,WOMEN,precision,0.2832369942196532
gpt-3.5,WOMEN,precision,0.31746031746031744
gpt-3.5,WOMEN,precision,0.22966507177033493
gpt-3.5,WOMEN,precision,0.2781456953642384
gpt-3.5,WOMEN,precision,0.25766871165644173
gpt-3.5,WOMEN,precision,0.2760416666666667
gpt-3.5,WOMEN,precision,0.24324324324324326
gpt-3.5,WOMEN,precision,0.25925925925925924
gpt-3.5,WOMEN,precision,0.24539877300613497
gpt-3.5,WOMEN,precision,0.30569948186528495
gpt-3.5,WOMEN,precision,0.29411764705882354
gpt-3.5,WOMEN,precision,0.2392638036809816
gpt-3.5,WOMEN,precision,0.28313253012048195
gpt-3.5,WOMEN,precision,0.30625
gpt-3.5,WOMEN,precision,0.38650306748466257
gpt-3.5,WOMEN,precision,0.3131868131868132
gpt-3.5,WOMEN,precision,0.26519337016574585
gpt-3.5,WOMEN,precision,0.29473684210526313
gpt-3.5,WOMEN,precision,0.27631578947368424
gpt-3.5,WOMEN,precision,0.28804347826086957
gpt-3.5,WOMEN,precision,0.23353293413173654
gpt-3.5,WOMEN,precision,0.27071823204419887
gpt-3.5,WOMEN,precision,0.26900584795321636
gpt-3.5,WOMEN,precision,0.32
gpt-3.5,WOMEN,precision,0.29411764705882354
gpt-3.5,WOMEN,precision,0.25
gpt-3.5,WOMEN,precision,0.2654320987654321
gpt-3.5,WOMEN,precision,0.30434782608695654
gpt-3.5,WOMEN,precision,0.26627218934911245
gpt-3.5,WOMEN,precision,0.2923076923076923
gpt-3.5,WOMEN,precision,0.31976744186046513
gpt-3.5,WOMEN,precision,0.3275862068965517
gpt-3.5,WOMEN,precision,0.2931937172774869
gpt-3.5,WOMEN,precision,0.2987012987012987
gpt-3.5,WOMEN,precision,0.30128205128205127
gpt-3.5,WOMEN,precision,0.3142857142857143
gpt-3.5,WOMEN,precision,0.26744186046511625
gpt-3.5,WOMEN,precision,0.3068181818181818
gpt-3.5,WOMEN,precision,0.26490066225165565
gpt-3.5,WOMEN,precision,0.26881720430107525
gpt-3.5,WOMEN,precision,0.2857142857142857
gpt-3.5,WOMEN,precision,0.2824858757062147
gpt-3.5,WOMEN,precision,0.25405405405405407
gpt-3.5,WOMEN,precision,0.27071823204419887
gpt-3.5,WOMEN,precision,0.2777777777777778
gpt-3.5,WOMEN,precision,0.24719101123595505
gpt-3.5,WOMEN,precision,0.2660098522167488
gpt-3.5,WOMEN,precision,0.26993865030674846
gpt-3.5,WOMEN,precision,0.32748538011695905
gpt-3.5,WOMEN,precision,0.25146198830409355
gpt-3.5,WOMEN,precision,0.25609756097560976
gpt-3.5,WOMEN,precision,0.30057803468208094
gpt-3.5,WOMEN,precision,0.29797979797979796
gpt-3.5,WOMEN,precision,0.24489795918367346
gpt-3.5,WOMEN,precision,0.23243243243243245
gpt-3.5,WOMEN,precision,0.31547619047619047
gpt-3.5,WOMEN,precision,0.30319148936170215
gpt-3.5,WOMEN,precision,0.2594594594594595
gpt-3.5,WOMEN,precision,0.30726256983240224
gpt-3.5,WOMEN,precision,0.2878787878787879
gpt-3.5,WOMEN,precision,0.2
gpt-3.5,WOMEN,precision,0.23626373626373626
gpt-3.5,WOMEN,recall,0.45161290322580644
gpt-3.5,WOMEN,recall,0.39705882352941174
gpt-3.5,WOMEN,recall,0.4016393442622951
gpt-3.5,WOMEN,recall,0.47619047619047616
gpt-3.5,WOMEN,recall,0.36619718309859156
gpt-3.5,WOMEN,recall,0.3776223776223776
gpt-3.5,WOMEN,recall,0.34108527131782945
gpt-3.5,WOMEN,recall,0.38461538461538464
gpt-3.5,WOMEN,recall,0.3458646616541353
gpt-3.5,WOMEN,recall,0.38345864661654133
gpt-3.5,WOMEN,recall,0.33783783783783783
gpt-3.5,WOMEN,recall,0.3826086956521739
gpt-3.5,WOMEN,recall,0.3787878787878788
gpt-3.5,WOMEN,recall,0.37748344370860926
gpt-3.5,WOMEN,recall,0.34959349593495936
gpt-3.5,WOMEN,recall,0.37142857142857144
gpt-3.5,WOMEN,recall,0.41911764705882354
gpt-3.5,WOMEN,recall,0.33088235294117646
gpt-3.5,WOMEN,recall,0.41353383458646614
gpt-3.5,WOMEN,recall,0.4461538461538462
gpt-3.5,WOMEN,recall,0.4338235294117647
gpt-3.5,WOMEN,recall,0.3305785123966942
gpt-3.5,WOMEN,recall,0.3412698412698413
gpt-3.5,WOMEN,recall,0.31896551724137934
gpt-3.5,WOMEN,recall,0.33587786259541985
gpt-3.5,WOMEN,recall,0.3783783783783784
gpt-3.5,WOMEN,recall,0.4444444444444444
gpt-3.5,WOMEN,recall,0.32903225806451614
gpt-3.5,WOMEN,recall,0.3333333333333333
gpt-3.5,WOMEN,recall,0.36065573770491804
gpt-3.5,WOMEN,recall,0.42424242424242425
gpt-3.5,WOMEN,recall,0.37719298245614036
gpt-3.5,WOMEN,recall,0.3333333333333333
gpt-3.5,WOMEN,recall,0.3050847457627119
gpt-3.5,WOMEN,recall,0.32786885245901637
gpt-3.5,WOMEN,recall,0.31297709923664124
gpt-3.5,WOMEN,recall,0.3253968253968254
gpt-3.5,WOMEN,recall,0.43846153846153846
gpt-3.5,WOMEN,recall,0.3741496598639456
gpt-3.5,WOMEN,recall,0.3277310924369748
gpt-3.5,WOMEN,recall,0.371900826446281
gpt-3.5,WOMEN,recall,0.3357142857142857
gpt-3.5,WOMEN,recall,0.3055555555555556
gpt-3.5,WOMEN,recall,0.34782608695652173
gpt-3.5,WOMEN,recall,0.3669064748201439
gpt-3.5,WOMEN,recall,0.48623853211009177
gpt-3.5,WOMEN,recall,0.421875
gpt-3.5,WOMEN,recall,0.3949579831932773
gpt-3.5,WOMEN,recall,0.3851851851851852
gpt-3.5,WOMEN,recall,0.41935483870967744
gpt-3.5,WOMEN,recall,0.3826086956521739
gpt-3.5,WOMEN,recall,0.37142857142857144
gpt-3.5,WOMEN,recall,0.3435114503816794
gpt-3.5,WOMEN,recall,0.323943661971831
gpt-3.5,WOMEN,recall,0.3897058823529412
gpt-3.5,WOMEN,recall,0.2890625
gpt-3.5,WOMEN,recall,0.3211009174311927
gpt-3.5,WOMEN,recall,0.4057971014492754
gpt-3.5,WOMEN,recall,0.34285714285714286
gpt-3.5,WOMEN,recall,0.35555555555555557
gpt-3.5,WOMEN,recall,0.35344827586206895
gpt-3.5,WOMEN,recall,0.4330708661417323
gpt-3.5,WOMEN,recall,0.36496350364963503
gpt-3.5,WOMEN,recall,0.33043478260869563
gpt-3.5,WOMEN,recall,0.35714285714285715
gpt-3.5,WOMEN,recall,0.46218487394957986
gpt-3.5,WOMEN,recall,0.36666666666666664
gpt-3.5,WOMEN,recall,0.31386861313868614
gpt-3.5,WOMEN,recall,0.4426229508196721
gpt-3.5,WOMEN,recall,0.38461538461538464
gpt-3.5,WOMEN,recall,0.39855072463768115
gpt-3.5,WOMEN,recall,0.4318181818181818
gpt-3.5,WOMEN,recall,0.35658914728682173
gpt-3.5,WOMEN,recall,0.4148148148148148
gpt-3.5,WOMEN,recall,0.3404255319148936
gpt-3.5,WOMEN,recall,0.32666666666666666
gpt-3.5,WOMEN,recall,0.328
gpt-3.5,WOMEN,recall,0.3722627737226277
gpt-3.5,WOMEN,recall,0.4
gpt-3.5,WOMEN,recall,0.3937007874015748
gpt-3.5,WOMEN,recall,0.3238095238095238
gpt-3.5,WOMEN,recall,0.3816793893129771
gpt-3.5,WOMEN,recall,0.371900826446281
gpt-3.5,WOMEN,recall,0.36885245901639346
gpt-3.5,WOMEN,recall,0.3170731707317073
gpt-3.5,WOMEN,recall,0.3629032258064516
gpt-3.5,WOMEN,recall,0.4552238805970149
gpt-3.5,WOMEN,recall,0.41605839416058393
gpt-3.5,WOMEN,recall,0.4224137931034483
gpt-3.5,WOMEN,recall,0.4225352112676056
gpt-3.5,WOMEN,recall,0.34285714285714286
gpt-3.5,WOMEN,recall,0.32558139534883723
gpt-3.5,WOMEN,recall,0.32558139534883723
gpt-3.5,WOMEN,recall,0.4649122807017544
gpt-3.5,WOMEN,recall,0.36
gpt-3.5,WOMEN,recall,0.3983739837398374
gpt-3.5,WOMEN,recall,0.33613445378151263
gpt-3.5,WOMEN,recall,0.4125874125874126
gpt-3.5,WOMEN,recall,0.36885245901639346
gpt-3.5,WOMEN,recall,0.31451612903225806
gpt-3.5,WOMEN,recall,0.39166666666666666
gpt-3.5,WOMEN,recall,0.35507246376811596
gpt-3.5,WOMEN,recall,0.4666666666666667
gpt-3.5,WOMEN,recall,0.4789915966386555
gpt-3.5,WOMEN,recall,0.4067796610169492
gpt-3.5,WOMEN,recall,0.37333333333333335
gpt-3.5,WOMEN,recall,0.33070866141732286
gpt-3.5,WOMEN,recall,0.43089430894308944
gpt-3.5,WOMEN,recall,0.312
gpt-3.5,WOMEN,recall,0.4117647058823529
gpt-3.5,WOMEN,recall,0.3333333333333333
gpt-3.5,WOMEN,recall,0.3971631205673759
gpt-3.5,WOMEN,recall,0.39568345323741005
gpt-3.5,WOMEN,recall,0.4016393442622951
gpt-3.5,WOMEN,recall,0.36134453781512604
gpt-3.5,WOMEN,recall,0.34507042253521125
gpt-3.5,WOMEN,recall,0.3284671532846715
gpt-3.5,WOMEN,recall,0.4014084507042254
gpt-3.5,WOMEN,recall,0.39855072463768115
gpt-3.5,WOMEN,recall,0.4014084507042254
gpt-3.5,WOMEN,recall,0.38620689655172413
gpt-3.5,WOMEN,recall,0.39316239316239315
gpt-3.5,WOMEN,recall,0.32413793103448274
gpt-3.5,WOMEN,recall,0.4435483870967742
gpt-3.5,WOMEN,recall,0.38016528925619836
gpt-3.5,WOMEN,recall,0.375
gpt-3.5,WOMEN,recall,0.273972602739726
gpt-3.5,WOMEN,recall,0.3816793893129771
gpt-3.5,WOMEN,recall,0.391304347826087
gpt-3.5,WOMEN,recall,0.352112676056338
gpt-3.5,WOMEN,recall,0.4017094017094017
gpt-3.5,WOMEN,recall,0.37404580152671757
gpt-3.5,WOMEN,recall,0.3819444444444444
gpt-3.5,WOMEN,recall,0.3464566929133858
gpt-3.5,WOMEN,recall,0.4
gpt-3.5,WOMEN,recall,0.3728813559322034
gpt-3.5,WOMEN,recall,0.4
gpt-3.5,WOMEN,recall,0.3739130434782609
gpt-3.5,WOMEN,recall,0.3230769230769231
gpt-3.5,WOMEN,recall,0.4
gpt-3.5,WOMEN,recall,0.3933333333333333
gpt-3.5,WOMEN,recall,0.3582089552238806
gpt-3.5,WOMEN,recall,0.37719298245614036
gpt-3.5,WOMEN,recall,0.3897058823529412
gpt-3.5,WOMEN,recall,0.38
gpt-3.5,WOMEN,recall,0.366412213740458
gpt-3.5,WOMEN,recall,0.4263565891472868
gpt-3.5,WOMEN,recall,0.3986013986013986
gpt-3.5,WOMEN,recall,0.3103448275862069
gpt-3.5,WOMEN,recall,0.3359375
gpt-3.5,WOMEN,f1,0.3804347826086956
gpt-3.5,WOMEN,f1,0.36
gpt-3.5,WOMEN,f1,0.34385964912280703
gpt-3.5,WOMEN,f1,0.39735099337748336
gpt-3.5,WOMEN,f1,0.33015873015873015
gpt-3.5,WOMEN,f1,0.3282674772036474
gpt-3.5,WOMEN,f1,0.284789644012945
gpt-3.5,WOMEN,f1,0.33112582781456956
gpt-3.5,WOMEN,f1,0.28750000000000003
gpt-3.5,WOMEN,f1,0.3300970873786408
gpt-3.5,WOMEN,f1,0.3003003003003003
gpt-3.5,WOMEN,f1,0.3076923076923077
gpt-3.5,WOMEN,f1,0.3076923076923077
gpt-3.5,WOMEN,f1,0.31932773109243695
gpt-3.5,WOMEN,f1,0.2819672131147541
gpt-3.5,WOMEN,f1,0.2826086956521739
gpt-3.5,WOMEN,f1,0.35962145110410093
gpt-3.5,WOMEN,f1,0.29411764705882354
gpt-3.5,WOMEN,f1,0.3448275862068966
gpt-3.5,WOMEN,f1,0.36137071651090347
gpt-3.5,WOMEN,f1,0.37341772151898733
gpt-3.5,WOMEN,f1,0.2564102564102564
gpt-3.5,WOMEN,f1,0.303886925795053
gpt-3.5,WOMEN,f1,0.2700729927007299
gpt-3.5,WOMEN,f1,0.28664495114006516
gpt-3.5,WOMEN,f1,0.34355828220858897
gpt-3.5,WOMEN,f1,0.36482084690553745
gpt-3.5,WOMEN,f1,0.3119266055045872
gpt-3.5,WOMEN,f1,0.28793774319066145
gpt-3.5,WOMEN,f1,0.3076923076923077
gpt-3.5,WOMEN,f1,0.37209302325581406
gpt-3.5,WOMEN,f1,0.2945205479452055
gpt-3.5,WOMEN,f1,0.24516129032258058
gpt-3.5,WOMEN,f1,0.2508710801393728
gpt-3.5,WOMEN,f1,0.27586206896551724
gpt-3.5,WOMEN,f1,0.259493670886076
gpt-3.5,WOMEN,f1,0.2887323943661972
gpt-3.5,WOMEN,f1,0.3573667711598746
gpt-3.5,WOMEN,f1,0.3459119496855346
gpt-3.5,WOMEN,f1,0.27272727272727276
gpt-3.5,WOMEN,f1,0.29411764705882354
gpt-3.5,WOMEN,f1,0.30128205128205127
gpt-3.5,WOMEN,f1,0.26993865030674846
gpt-3.5,WOMEN,f1,0.30967741935483867
gpt-3.5,WOMEN,f1,0.31097560975609756
gpt-3.5,WOMEN,f1,0.3719298245614035
gpt-3.5,WOMEN,f1,0.32142857142857145
gpt-3.5,WOMEN,f1,0.3154362416107382
gpt-3.5,WOMEN,f1,0.3151515151515151
gpt-3.5,WOMEN,f1,0.34782608695652173
gpt-3.5,WOMEN,f1,0.30985915492957744
gpt-3.5,WOMEN,f1,0.33015873015873015
gpt-3.5,WOMEN,f1,0.30927835051546393
gpt-3.5,WOMEN,f1,0.29870129870129875
gpt-3.5,WOMEN,f1,0.354515050167224
gpt-3.5,WOMEN,f1,0.27007299270072993
gpt-3.5,WOMEN,f1,0.2573529411764706
gpt-3.5,WOMEN,f1,0.35109717868338564
gpt-3.5,WOMEN,f1,0.24742268041237114
gpt-3.5,WOMEN,f1,0.30868167202572344
gpt-3.5,WOMEN,f1,0.27891156462585037
gpt-3.5,WOMEN,f1,0.3594771241830066
gpt-3.5,WOMEN,f1,0.30581039755351686
gpt-3.5,WOMEN,f1,0.2783882783882784
gpt-3.5,WOMEN,f1,0.3076923076923077
gpt-3.5,WOMEN,f1,0.3583061889250815
gpt-3.5,WOMEN,f1,0.28664495114006516
gpt-3.5,WOMEN,f1,0.2721518987341772
gpt-3.5,WOMEN,f1,0.37894736842105264
gpt-3.5,WOMEN,f1,0.3389830508474576
gpt-3.5,WOMEN,f1,0.36912751677852346
gpt-3.5,WOMEN,f1,0.3665594855305466
gpt-3.5,WOMEN,f1,0.3274021352313167
gpt-3.5,WOMEN,f1,0.345679012345679
gpt-3.5,WOMEN,f1,0.29813664596273287
gpt-3.5,WOMEN,f1,0.2996941896024465
gpt-3.5,WOMEN,f1,0.27796610169491526
gpt-3.5,WOMEN,f1,0.31875
gpt-3.5,WOMEN,f1,0.3168316831683169
gpt-3.5,WOMEN,f1,0.3194888178913738
gpt-3.5,WOMEN,f1,0.2446043165467626
gpt-3.5,WOMEN,f1,0.3115264797507788
gpt-3.5,WOMEN,f1,0.3010033444816054
gpt-3.5,WOMEN,f1,0.28753993610223644
gpt-3.5,WOMEN,f1,0.2708333333333333
gpt-3.5,WOMEN,f1,0.30716723549488056
gpt-3.5,WOMEN,f1,0.3753846153846154
gpt-3.5,WOMEN,f1,0.35625
gpt-3.5,WOMEN,f1,0.3391003460207613
gpt-3.5,WOMEN,f1,0.36253776435045315
gpt-3.5,WOMEN,f1,0.2750716332378224
gpt-3.5,WOMEN,f1,0.3
gpt-3.5,WOMEN,f1,0.28767123287671237
gpt-3.5,WOMEN,f1,0.34640522875817
gpt-3.5,WOMEN,f1,0.2903225806451613
gpt-3.5,WOMEN,f1,0.3141025641025641
gpt-3.5,WOMEN,f1,0.28368794326241137
gpt-3.5,WOMEN,f1,0.3511904761904762
gpt-3.5,WOMEN,f1,0.32727272727272727
gpt-3.5,WOMEN,f1,0.2717770034843206
gpt-3.5,WOMEN,f1,0.3286713286713287
gpt-3.5,WOMEN,f1,0.3288590604026846
gpt-3.5,WOMEN,f1,0.42281879194630867
gpt-3.5,WOMEN,f1,0.3787375415282392
gpt-3.5,WOMEN,f1,0.3210702341137124
gpt-3.5,WOMEN,f1,0.32941176470588235
gpt-3.5,WOMEN,f1,0.30107526881720437
gpt-3.5,WOMEN,f1,0.34527687296416937
gpt-3.5,WOMEN,f1,0.2671232876712329
gpt-3.5,WOMEN,f1,0.3266666666666666
gpt-3.5,WOMEN,f1,0.29773462783171517
gpt-3.5,WOMEN,f1,0.3544303797468355
gpt-3.5,WOMEN,f1,0.3374233128834356
gpt-3.5,WOMEN,f1,0.3081761006289308
gpt-3.5,WOMEN,f1,0.30604982206405695
gpt-3.5,WOMEN,f1,0.3234323432343234
gpt-3.5,WOMEN,f1,0.2941176470588236
gpt-3.5,WOMEN,f1,0.33827893175074186
gpt-3.5,WOMEN,f1,0.3548387096774194
gpt-3.5,WOMEN,f1,0.36075949367088606
gpt-3.5,WOMEN,f1,0.3333333333333333
gpt-3.5,WOMEN,f1,0.33948339483394835
gpt-3.5,WOMEN,f1,0.31229235880398665
gpt-3.5,WOMEN,f1,0.36789297658862874
gpt-3.5,WOMEN,f1,0.31399317406143346
gpt-3.5,WOMEN,f1,0.33749999999999997
gpt-3.5,WOMEN,f1,0.26936026936026936
gpt-3.5,WOMEN,f1,0.3154574132492114
gpt-3.5,WOMEN,f1,0.33027522935779813
gpt-3.5,WOMEN,f1,0.3134796238244514
gpt-3.5,WOMEN,f1,0.3112582781456954
gpt-3.5,WOMEN,f1,0.3141025641025641
gpt-3.5,WOMEN,f1,0.3216374269005848
gpt-3.5,WOMEN,f1,0.28852459016393445
gpt-3.5,WOMEN,f1,0.31952662721893493
gpt-3.5,WOMEN,f1,0.31316725978647686
gpt-3.5,WOMEN,f1,0.36012861736334406
gpt-3.5,WOMEN,f1,0.30069930069930073
gpt-3.5,WOMEN,f1,0.28571428571428575
gpt-3.5,WOMEN,f1,0.3432343234323433
gpt-3.5,WOMEN,f1,0.33908045977011486
gpt-3.5,WOMEN,f1,0.2909090909090909
gpt-3.5,WOMEN,f1,0.2876254180602007
gpt-3.5,WOMEN,f1,0.3486842105263158
gpt-3.5,WOMEN,f1,0.33727810650887574
gpt-3.5,WOMEN,f1,0.30379746835443044
gpt-3.5,WOMEN,f1,0.35714285714285715
gpt-3.5,WOMEN,f1,0.33431085043988273
gpt-3.5,WOMEN,f1,0.24324324324324326
gpt-3.5,WOMEN,f1,0.27741935483870966
gpt-3.5,LGBTI,precision,0.5408163265306123
gpt-3.5,LGBTI,precision,0.4573643410852713
gpt-3.5,LGBTI,precision,0.6037735849056604
gpt-3.5,LGBTI,precision,0.367816091954023
gpt-3.5,LGBTI,precision,0.5163934426229508
gpt-3.5,LGBTI,precision,0.5233644859813084
gpt-3.5,LGBTI,precision,0.4336283185840708
gpt-3.5,LGBTI,precision,0.5632183908045977
gpt-3.5,LGBTI,precision,0.3645833333333333
gpt-3.5,LGBTI,precision,0.6262626262626263
gpt-3.5,LGBTI,precision,0.45454545454545453
gpt-3.5,LGBTI,precision,0.5283018867924528
gpt-3.5,LGBTI,precision,0.5233644859813084
gpt-3.5,LGBTI,precision,0.47572815533980584
gpt-3.5,LGBTI,precision,0.5779816513761468
gpt-3.5,LGBTI,precision,0.5128205128205128
gpt-3.5,LGBTI,precision,0.38738738738738737
gpt-3.5,LGBTI,precision,0.4787234042553192
gpt-3.5,LGBTI,precision,0.5316455696202531
gpt-3.5,LGBTI,precision,0.5294117647058824
gpt-3.5,LGBTI,precision,0.44036697247706424
gpt-3.5,LGBTI,precision,0.61
gpt-3.5,LGBTI,precision,0.4444444444444444
gpt-3.5,LGBTI,precision,0.456
gpt-3.5,LGBTI,precision,0.4807692307692308
gpt-3.5,LGBTI,precision,0.5042735042735043
gpt-3.5,LGBTI,precision,0.5
gpt-3.5,LGBTI,precision,0.4716981132075472
gpt-3.5,LGBTI,precision,0.4787234042553192
gpt-3.5,LGBTI,precision,0.58
gpt-3.5,LGBTI,precision,0.631578947368421
gpt-3.5,LGBTI,precision,0.45161290322580644
gpt-3.5,LGBTI,precision,0.5765765765765766
gpt-3.5,LGBTI,precision,0.45535714285714285
gpt-3.5,LGBTI,precision,0.4954128440366973
gpt-3.5,LGBTI,precision,0.5897435897435898
gpt-3.5,LGBTI,precision,0.4639175257731959
gpt-3.5,LGBTI,precision,0.47058823529411764
gpt-3.5,LGBTI,precision,0.5294117647058824
gpt-3.5,LGBTI,precision,0.5533980582524272
gpt-3.5,LGBTI,precision,0.4778761061946903
gpt-3.5,LGBTI,precision,0.5319148936170213
gpt-3.5,LGBTI,precision,0.43564356435643564
gpt-3.5,LGBTI,precision,0.4838709677419355
gpt-3.5,LGBTI,precision,0.49107142857142855
gpt-3.5,LGBTI,precision,0.4482758620689655
gpt-3.5,LGBTI,precision,0.4956521739130435
gpt-3.5,LGBTI,precision,0.53
gpt-3.5,LGBTI,precision,0.52
gpt-3.5,LGBTI,precision,0.4095238095238095
gpt-3.5,LGBTI,precision,0.5784313725490197
gpt-3.5,LGBTI,precision,0.4576271186440678
gpt-3.5,LGBTI,precision,0.4639175257731959
gpt-3.5,LGBTI,precision,0.4732142857142857
gpt-3.5,LGBTI,precision,0.5188679245283019
gpt-3.5,LGBTI,precision,0.5121951219512195
gpt-3.5,LGBTI,precision,0.4339622641509434
gpt-3.5,LGBTI,precision,0.4444444444444444
gpt-3.5,LGBTI,precision,0.5588235294117647
gpt-3.5,LGBTI,precision,0.5106382978723404
gpt-3.5,LGBTI,precision,0.4803921568627451
gpt-3.5,LGBTI,precision,0.46078431372549017
gpt-3.5,LGBTI,precision,0.509090909090909
gpt-3.5,LGBTI,precision,0.5391304347826087
gpt-3.5,LGBTI,precision,0.5523809523809524
gpt-3.5,LGBTI,precision,0.4036697247706422
gpt-3.5,LGBTI,precision,0.46846846846846846
gpt-3.5,LGBTI,precision,0.5096153846153846
gpt-3.5,LGBTI,precision,0.4631578947368421
gpt-3.5,LGBTI,precision,0.5445544554455446
gpt-3.5,LGBTI,precision,0.45348837209302323
gpt-3.5,LGBTI,precision,0.452991452991453
gpt-3.5,LGBTI,precision,0.4742268041237113
gpt-3.5,LGBTI,precision,0.5490196078431373
gpt-3.5,LGBTI,precision,0.45535714285714285
gpt-3.5,LGBTI,precision,0.5402298850574713
gpt-3.5,LGBTI,precision,0.5132743362831859
gpt-3.5,LGBTI,precision,0.45054945054945056
gpt-3.5,LGBTI,precision,0.48936170212765956
gpt-3.5,LGBTI,precision,0.4642857142857143
gpt-3.5,LGBTI,precision,0.45901639344262296
gpt-3.5,LGBTI,precision,0.5161290322580645
gpt-3.5,LGBTI,precision,0.5
gpt-3.5,LGBTI,precision,0.5588235294117647
gpt-3.5,LGBTI,precision,0.5
gpt-3.5,LGBTI,precision,0.49038461538461536
gpt-3.5,LGBTI,precision,0.5212765957446809
gpt-3.5,LGBTI,precision,0.4897959183673469
gpt-3.5,LGBTI,precision,0.4742268041237113
gpt-3.5,LGBTI,precision,0.5454545454545454
gpt-3.5,LGBTI,precision,0.4339622641509434
gpt-3.5,LGBTI,precision,0.5681818181818182
gpt-3.5,LGBTI,precision,0.472
gpt-3.5,LGBTI,precision,0.42857142857142855
