,context_tweet,text,pred_cot
2,China: identificaron otro virus “con potencial para convertirse en pandemia” #NuevoVirus #China #TransportadoPorCerdos #PodríaInfectarAHumanos #LasActualesVacunasPodríanAdaptarse #MásEnLaNota https://t.co/PfFGNEhY1O,"@usuario Primero se morfan murciélagos, ahora se deben haber garchado un chancho","El texto hace referencia a la alimentación de los chinos y realiza un comentario despectivo y vulgar acerca de supuestas prácticas sexuales con animales. La respuesta final es ""racismo, aspecto""."
145,"“Comemurciélagos” y “fabricantes de virus"": la ira de una estrella del rock contra China por la pandemia de coronavirus https://t.co/hxQH8AJyFX",@usuario Un mequetrefe frustrado de la vida despidiéndose de su público de por vida con racismo.,"El texto critica al cantante por expresar su ira hacia China y calificarlos de ""comemurciélagos"" y ""fabricantes de virus"". La respuesta final es ""racismo"""
1049,La crítica de Juana Viale a la foto de Alberto Fernández y Hugo Moyano https://t.co/jYpE7KEszY https://t.co/r8crp9DKKP,"@usuario Una degenerada que cuando estaba por parir se revolcaba con MARTIN LUSTEAU EN UN AUTO. juana VIALE por favor! Llamate a silencio que el PEDIDRE QUE TENES ES PEOR QUE EL DE VIVIANA CANOSA, DOS REVENTADAS QUE TIENEN EL TUPÉ DE HABLAR DE NUESTRO ALBERTO FERNÁNDEZ.","El texto contiene insultos hacia Juana Viale y Viviana Canosa, así como menciona a Martín Lousteau. Sin embargo, no hay referencias a las características protegidas mencionadas. La respuesta final es 'nada'."
612,Graciana Peñafort: “La marcha me dio mucha pena y tuvo un nivel de convocatoria menor al esperado” https://t.co/sPiBqGmFIg,"@usuario a mi me da pena ella , que no puede ocuparse de su obesidad morbida y su pulsion x las “cachorras”","El texto se refiere despectivamente al aspecto de Graciana Peñafort (obesidad morbida) y la acusa de tener una ""pulsión"" por mujeres jóvenes (""cachorras""). La respuesta final es ""aspecto, mujer"""
1008,El kirchnerismo creó un organismo para supervisar qué noticias se publican en los medios de comunicación https://t.co/DtJ9zs1BII,"@usuario Montonera, me chupas un huevo.",El texto no contiene ninguna declaración relacionada con características protegidas. La respuesta final es 'nada'.
769,Xi Jinping prometió que las vacunas desarrolladas en China contra el coronavirus estarán disponibles como “bien público global” https://t.co/ZWCZray2Wo,@usuario Ni en pedo me pongo vacuna china,"El comentario expresa desconfianza hacia la vacuna china, pero no contiene ninguna expresión de odio o rechazo hacia las características protegidas. La respuesta final es 'nada'."
845,Por qué los países liderados por mujeres parecen haber respondido mejor a la crisis del coronavirus https://t.co/yZrx4rnHSr,@usuario El que sean mujeres Presidentes ya habla de la diferencia de mentalidad de esos pueblos,"El texto alude a que las mujeres presidentes tienen una mentalidad diferente, lo cual puede ser interpretado como un comentario sexista. La respuesta final es ""mujer""."
936,″¿Por qué un beso entre dos hombres los vuelve tan violentos?”: la vida después de haber sido víctima de ataques homofóbicos | Por Milton Del Moral https://t.co/MgHNMf8Sch,"@usuario #SorosNoticias estas propagandas disfrazadas de noticias dan asco. A todo ser humano le han hecho pasar un mal momento alguna vez. Yo viví años de bullying escolar. Sin nadie que me apoyara. Y? lo superé e hice mi vida. Estos les dicen pio y ya hablan de ""ataque homofóbico"".","El texto menciona ataques homofóbicos y critica las propagandas disfrazadas de noticias, pero no contiene ningún discurso de odio. La respuesta final es ""lgbti""."
652,Keira Knightley no volverá a filmar escenas de sexo dirigidas por hombres https://t.co/7Lz9Wbjhds,"@usuario esa perita que tiene, temo que le ingrese agua cuando llueve","El texto hace un comentario sobre el físico de Keira Knightley, insinuando negativamente sobre su aspecto físico. La respuesta final es ""mujer, aspecto""."
1048,Científicos identificaron en China otro virus respiratorio“con potencial para convertirse en pandemia” https://t.co/TQYuvSXqrT,@usuario Necesitamos mas gente que se estrelle contra las embajadas,"El texto no contiene discurso de odio. No menciona ninguna característica protegida ni hace declaraciones de rechazo intenso e irracional contra un individuo o grupo. La respuesta final es ""nada""."
240,Mara Gómez: la historia de la primera futbolista trans en el torneo argentino https://t.co/rBx3pMPUbB https://t.co/l5I1j0xFku,"@usuario No corresponde,  es ventaja","El texto se refiere a la condición de Mara Gómez como una ventaja. La respuesta final es ""lgbti""."
294,"Alberto Fernández: ""Me iría a un isla desierta con Máximo Kirchner "" https://t.co/J11MNnD5Yb https://t.co/ALGYab7Xch",@usuario @usuario Si el gordo tiene una pinta de sodomita!JAJA,"El texto alude al aspecto físico del gordo y lo acusa de ser sodomita. La respuesta final es ""aspecto, política"""
607,"Alberto Fernández: ""Es imperdonable que haya indocumentados en Argentina "" https://t.co/DDrigPlNxZ https://t.co/r6BquV2RBu","@usuario Hay que obligarlos a sacar ciudadanías con exámen y a renunciar a sus ciudadanías de orígen y poner restricciones para los delincuentes y los que no trabajan, pero como al gob no le conviene hacerlo va a dar DNI a cualquiera como hasta ahora","El texto critica a los indocumentados y sugiere medidas restrictivas hacia ellos. Además, menciona a los delincuentes y a los que no trabajan. La respuesta final es ""racismo, política, clase, criminal"""
555,"La otra batalla mundial, el otro enemigo invisible: “La violencia contra las mujeres es pandemia hace siglos” | Por Thelma Fardin https://t.co/mHSJ3PFKEh",@usuario Volvió la insoportable,"El texto se refiere de manera despectiva a las mujeres como ""insoportable"". La respuesta final es ""mujer""."
765,Una policía baleó y mató a un joven de 17 años que la atacó con una tijera en Moreno https://t.co/3INhfcsh2P,"@usuario El joven de 17 años es un chorro que le puso una tijera en el cuello a una mina que esperaba el colectivo. Tuvo la suerte de ser policía y poder sacar su arma, otra quizas terminaba muerta.","El texto alude a que el joven de 17 años es un ""chorro"", lo cual implica que es un delincuente común. Además, se refiere a la policía como ""mina"", lo cual puede ser considerado despectivo hacia las mujeres. La respuesta final es ""criminal, mujer""."
1091,China: Vuelven a vender murciélagos y carne de animales domésticos a pesar del Coronavirus #OtrasVezComenMurciélagos #YComenAnimalesDomésticos #AsíNo #QuéHorror #Coronavirus #China https://t.co/DTaFQaWzFH,@usuario @usuario 💣💣💣,"El texto consiste en emojis de bombas, no contiene ninguna declaración de rechazo o enemistad hacia ningún individuo o grupo. La respuesta final es 'nada'."
493,"Baby Etchecopar, contra las feministas: ""Convirtieron una lucha legítima en una payasada"" https://t.co/KhS5pn3WNV https://t.co/MLa7Wml301","@usuario una payasada que está muy cerca de ser el nuevo ""fascismo"" muy violentas en su verborragia esas HDPs que no respetan nuestras libertades individuales y nos miran amenazantes... ❤️🙏","El comentario se refiere de forma despectiva a las feministas, los llama ""HDPs"" (hijas de puta) y dice que son ""muy violentas en su verborragia"". La respuesta final es ""mujer, política""."
611,El PAMI tendrá que pagar una cirugía para agrandar los pechos de una afiliada autopercibida mujer | Por Patricia Blanco https://t.co/IObp8ZBnxq,"@usuario Sho me autopercibo Susana Gimenez, así que más vale que me compren una chacra en Uruguay y me paguen la tintura rubia","El texto hace referencia a una afiliada autopercibida mujer y se burla de su identidad de género al compararse con Susana Giménez. La respuesta final es ""mujer""."
308,China: se derrumbó un hotel usado para la cuarentena de afectados de coronavirus https://t.co/nlKSdKbyEA https://t.co/peIJ62PmB2,"@usuario La tienen clara los chinos,muerto el perro muerto la rabia👌","El texto hace una referencia a los chinos de manera general, pero no contiene un discurso de odio intenso o irracional hacia ellos. La respuesta final es ""nada""."
1099,Jair Bolsonaro se mostró orgulloso porque Vladimir Putin elogió sus 'cualidades masculinas' https://t.co/0InMBfeLnK,@usuario No seas trolo Man,"El texto utiliza la palabra ""trolo"" como un insulto, que es un término despectivo para referirse a una persona gay. La respuesta final es ""lgbti""."
260,"Coronavirus en China: la fiesta ""de la carne de perro"" en Yulín, cada vez más cuestionada https://t.co/tgAEKbLG5q",@usuario Hijos de re mil,"El texto no hace referencia a ninguna característica protegida ni contiene un discurso de odio. La respuesta final es ""nada""."
271,"“Fílmame, india horrible”: así se refirió una pareja argentina a vecina de Ciudad de México por la poda de árboles https://t.co/K9sFAt2HKM",@usuario que los expulsen Racistas asquerosos,"El texto critica a la pareja argentina por su actitud racista. La respuesta final es ""racismo""."
373,"Coronavirus en la Argentina: ""Es un error abrir más. No lo puedo permitir"", advirtió Axel Kicillof https://t.co/CT4d6vtyni https://t.co/50CsSBAAFz",@usuario Judio hdp la gente necesita laburar,"El texto utiliza un insulto de carácter antisemita hacia Axel Kicillof, así como un comentario sobre la necesidad de trabajar. La respuesta final es ""discurso de odio, política""."
598,Alberto Fernández ratifica su distancia diplomática con Trump y hoy dialoga con Xi Jinping para profundizar la relación con China | Por Román Lejtman https://t.co/c9FfNBSMbR,"@usuario Dios mio tenemos al presidente mas pelotudo del mundo, mira que no me cae del todo Trump, pero hacer alianza CON CHINA, CHINA, la re concha de tu madre bigotudo de mierda","El texto critica al presidente por querer hacer alianza con China y utiliza un lenguaje ofensivo al referirse a los chinos. La respuesta final es ""racismo"""
1008,Ivana Nadal se cansó de la criticaran y sorprendió con su respuesta: “Gracias a Dios a fin de año me voy del país” https://t.co/ejHs0hGFwg,@usuario Que bien se gana como gato para instalarte en el exterior cuando se te canta el orto.,"El comentario hace referencia al trabajo de Ivana Nadal como ""gato"", término despectivo para referirse a una trabajadora sexual. No menciona ninguna de las características protegidas. La respuesta final es ""nada""."
304,Coronavirus y encierro forzoso: advierten que puede aumentar la violencia contra mujeres y niños https://t.co/Sg0V0qNAhp,"@usuario Si es muy probable, la gente frente a este tipo de naturaleza, saca el animal.","El comentario menciona una ""naturaleza animal"" que la gente saca frente a situaciones como el encierro forzoso. Aunque no se menciona directamente una característica protegida, este comentario puede ser interpretado como una expresión de enemistad o rechazo hacia las mujeres y los niños, lo cual entraría en la categoría de discurso de odio contra la categoría ""mujer"". La respuesta final es ""mujer""."
38,Científicos identificaron en China otro virus respiratorio“con potencial para convertirse en pandemia” https://t.co/TQYuvSXqrT,@usuario Que se queden tranca en su país y no jodan dale !!!,"El texto expresa un deseo de que los chinos se queden en su propio país y no ""jodan"". Aunque este comentario es discriminatorio y xenófobo, no hace referencia a ninguna característica protegida específica. La respuesta final es ""racismo""."
694,"El exabrupto de Jair Bolsonaro sobre Brasil y el Covid-19: ""Tienen que dejar de ser un país de maricas"" https://t.co/WtxRjY7tJp",@usuario y bueno tiene razón,"El texto está de acuerdo con el comentario ofensivo del discurso de Bolsonaro, aludiendo a la homosexualidad como algo negativo. La respuesta final es ""lgbti, política""."
349,Así quedó la iglesia de El Bolsón vandalizada por mapuches https://t.co/HX65fLHMmO,"@usuario Y son los ""protegidos"" @usuario 😁🤷‍♀️ hagan lío, dijo😁😁😁😁😁😁😁😁😂😂😂😂","El texto se refiere a los mapuches de manera irónica y los acusa de ser los ""protegidos"". La respuesta final es ""racismo"""
724,La pregunta billonaria: ¿China debería pagar el costo de la pandemia? https://t.co/Ld5Ri2LxNj https://t.co/b1lFCr1BqZ,"@usuario Dictadura china que somete al Tibet, y los imbeciles comprandole de todo a estos putos del orto","El texto critica a China por su política hacia el Tíbet y utiliza un lenguaje ofensivo hacia los chinos. La respuesta final es ""racismo, política""."
556,Una nena wichi de dos años murió por desnutrición en Salta https://t.co/xemWPmsg9J,@usuario Dónde están las feministas cuando hay mujeres y niñas muriéndose de hambre?? Esa no importan!! Que mal que veo a este país decadente!! Pero el aborto es más importante!,"El texto critica a las feministas y las acusa de no preocuparse por las mujeres y niñas que mueren de hambre. También minimiza la importancia del aborto. La respuesta final es ""mujer, política"""
246,Su novia es mexicana y Migraciones le exige casi 50 mil pesos para dejarla ingresar a la Argentina | Por Cinthia Ruth https://t.co/dnNHPbdo7m,"@usuario En los circos siempre se pagó entrada. Argentina es uno, por eso le sale eso. Y es súper barato. Aunque te deberían pagar para ir a Argentina, no cobrar.","El texto hace una comparación de Argentina con un circo y alude a la nacionalidad mexicana de la novia como un factor negativo. La respuesta final es ""racismo"""
935,"El enojo de Moria Casán contra Rocío Oliva: “Mucha agua oxigenada, le quedó media neurona para jugar a la pelota” https://t.co/1ZHDYsJLri",@usuario patoruzu trava,"El texto es un insulto hacia la persona mencionada, pero sin hacer ninguna mención a las características protegidas. La respuesta final es 'nada'."
1120,Coronavirus y encierro forzoso: advierten que puede aumentar la violencia contra mujeres y niños https://t.co/Sg0V0qNAhp,"@usuario Las feministas están RE Ardidas porque esta situación nos retrotrae a "" la familia unida"" , mamá papá hijos y una mesa para compartir😄
Ah! Si hablas de violencia hacia la mujer, no te olvides de remarcar que la violencia en los niños es ejercida en mayor medida por las madres.","El texto realiza una crítica a las feministas, pero no contiene un discurso de odio hacia las mujeres ni el movimiento feminista en general. Además, menciona la violencia hacia los niños ejercida por las madres, pero no presenta un rechazo irracional hacia ellas. La respuesta final es ""nada"""
319,Xi Jinping prometió que las vacunas desarrolladas en China contra el coronavirus estarán disponibles como “bien público global” https://t.co/ZWCZray2Wo,@usuario Ni en pedo me pongo una vacuna china,"El comentario expresa desconfianza en las vacunas desarrolladas en China, pero no contiene ningún discurso de odio hacia ninguna característica protegida. La respuesta final es 'nada'."
467,Británica llegó a Perú por 10 días y se quedó por amor: vive sin agua potable y entre insectos #AMiNoMeImportaElDinero #TengoLoQueYoMásQuieroAMiLado #ElAmorLeGanaATodo? #ConocéLaHistoria!!! https://t.co/1AvKrD7OJb,@usuario Pero empomada todo el día...,El comentario se refiere de manera inapropiada y despectiva a la vida sexual de la persona mencionada en el contexto. No hace mención a ninguna característica protegida. La respuesta final es 'nada'.
1066,"""Te amo "". La emotiva dedicatoria de Luis Novaresio a su pareja en su cumpleaños https://t.co/Hh63kaVA5U https://t.co/vNaUBjBkzx",@usuario Quien hace de mujer?,"El texto cuestiona la identidad de género de la pareja de Luis Novaresio. La respuesta final es ""lgbti"""
688,"Paul McCartney: ""Los chinos necesitan ser más limpios y menos medievales"" https://t.co/IWYFqAR993 https://t.co/X42fVIl9VJ",@usuario En palabras simples: los chinos deberían ser menos chinos.,"El texto alude a que los chinos deben dejar de actuar como chinos, lo cual implica una actitud de rechazo y discriminación hacia dicha nacionalidad. La respuesta final es ""racismo""."
444,#YoMeOcupo: la campaña que le habla a los varones para que se hagan cargo de las tareas domésticas https://t.co/P2AE8QsdGD,@usuario Solo escriben acá los que hacen tareas domésticas? Donde están los que la dejan a la mujer muleando en la cada? Calladitos seguro. Jajaja,"El texto menciona a los hombres que no hacen tareas domésticas y los acusa de dejar a la mujer ""muleando"", lo que implica un estereotipo de género y una actitud negativa hacia las mujeres. La respuesta final es ""mujer""."
547,Coronavirus en Argentina: el 70% de los casos son en hombres https://t.co/f4OXwC4wtl,@usuario El patriarcado triunfa nuevamente.,"El comentario critica el hecho de que la mayoría de los casos de coronavirus sean en hombres, atribuyéndolo al patriarcado. La respuesta final es ""mujer"""
361,"El Gobierno destinará 75 mil millones de pesos para urbanizar 300 villas en todo el país | Por Andrés Klipphan
https://t.co/h8EI0MikZ4",@usuario INDIGNANTE !!👉Premio al vago usurpador💩💩 !!@usuario!!.. La mitad son inmigrantes  !!@usuario@usuario😤😤😤.,"El texto utiliza términos despectivos como ""vago"", ""usurpador"" y ""inmigrantes"" en un tono de indignación, lo que indica un discurso de odio hacia las personas que viven en villas y los inmigrantes. La respuesta final es ""clase, inmigrantes""."
1113,"El titular de la OMS, “decepcionado” con China por no dar las autorizaciones necesarias al equipo que viaja a investigar el origen del COVID-19 https://t.co/wXrMlasyFc",@usuario No te enojes mucho etiope. Que mandan a suicidarte con veneno.,"El texto contiene un insulto racial al referirse al titular de la OMS como ""etiope"" de forma despectiva. La respuesta final es ""racismo""."
583,"Contó que era lesbiana, su papá le confesó que era gay y ahora su madre se enamoró de una mujer, lo que inspiró su segundo film | Por Hugo Martin
https://t.co/dt3NtrVJIW",@usuario No es noticia. Son gente que hace su vida nada mas. Dejen de poner en un podio,"El comentario critica que se considere noticia la orientación sexual de las personas, indicando que es algo normal y no debe ser objeto de atención especial. La respuesta final es ""lgbti"""
733,"Cómo es la cerveza ""peronista"" que el Chacho Coudet le regaló a Alberto Fernández https://t.co/8U1hk0FuGS",@usuario Bien negra y rancia como los K.,"El comentario utiliza el término ""negra"" de manera peyorativa para referirse a los seguidores del peronismo. La respuesta final es ""política, aspecto"""
159,Tensión en Villa Mascardi: mapuches resisten el desalojo de un predio usurpado https://t.co/8X6nnuOh21,@usuario Patada en el orto y a otra cosa,"El texto utiliza un lenguaje agresivo (""patada en el orto"") pero no hace referencia a ninguna característica protegida ni muestra rechazo irracional hacia un individuo o grupo. La respuesta final es 'nada'."
109,El kirchnerismo creó un organismo para supervisar qué noticias se publican en los medios de comunicación https://t.co/DtJ9zs1BII,@usuario Cambien la foto!! No asocien la bandera 🏳️‍🌈 con esta delincuente!! Despues nos odian a loa gays x culpa de los zurdos,"El texto critica a una persona (delincuente) y asocia la bandera LGBT+ con los ""zurdos"", de manera negativa. Además, menciona a los gays como objeto de odio por parte de los ""zurdos"". La respuesta final es ""política, lgbti"""
500,"Andrea del Boca, Thelma Fardin y Leonor Benedetto se ponen el la piel de las ""mujeres inmortales"" de la Argentina https://t.co/rPgVEa79ym https://t.co/vTItMuKyLh",@usuario Otra vez a mantener estas vagas con la nuestra,"El comentario se refiere despectivamente a las mujeres mencionadas como ""vagas"". La respuesta final es ""mujer""."
828,El PJ elogió la actitud de China frente a la pandemia del coronavirus https://t.co/IYGVlArQuJ,@usuario Que lindo yo pedí chop suey! Miro Bruce Lee y espero las ofertas del súper chino de la esquina!🈯🎎🎴 #bastadesopademurcielago,"El texto hace alusiones estereotipadas hacia los chinos y su cultura. La respuesta final es ""racismo"""
1083,China: identificaron otro virus “con potencial para convertirse en pandemia” #NuevoVirus #China #TransportadoPorCerdos #PodríaInfectarAHumanos #LasActualesVacunasPodríanAdaptarse #MásEnLaNota https://t.co/PfFGNEhY1O,@usuario Cuiiiiiiida los chanchoooooss mabeeeeeeelll🎶,"El comentario utiliza el término ""chanchoooss"", aludiendo a los chinos como cerdos. La respuesta final es ""racismo""."
986,Así luce el actor Elliot Page tras declararse trans https://t.co/yeTGhw6ooT,"@usuario Ya parecía un tipo, le hacía falta era cambiarse el nombre.","El texto se refiere a Elliot Page, un actor transgénero, como si todavía fuera un hombre. La respuesta final es ""lgbti""."
928,Tensión en Villa Mascardi: mapuches resisten el desalojo de un predio usurpado https://t.co/8X6nnuOh21,@usuario si necesitan una mano les mando un pizzero,"El comentario muestra una actitud burlona y de menosprecio hacia los mapuches, refiriéndose a ellos como si fueran una especie de objeto digno de ser desalojado. La respuesta final es ""racismo"""
637,Científicos identificaron en China otro virus respiratorio“con potencial para convertirse en pandemia” https://t.co/TQYuvSXqrT,"@usuario Y sospechosamente es en China en donde ""identifican"" otro virus","El comentario insinúa que en China siempre surgen nuevos virus, lo cual puede ser considerado xenofóbico. La respuesta final es ""racismo""."
1108,"El desesperado pedido de Actrices Argentinas ante la violencia de género en cuarentena: ""Es urgente"" https://t.co/ARA0WcCFw3",@usuario Todo lo usan para victimizarse...me tienen podrida vayan a laburar parásitos,"El texto desacredita la denuncia de violencia de género y acusa a las mujeres de aprovecharse de la situación para victimizarse. La respuesta final es ""mujer"""
50,"Es hija de chinos, llevó merienda al colegio para compartir y se la rechazaron por temor a contagiarse de coronavirus https://t.co/9qLjmqBwNn",@usuario Es el resultado del odio y racismo que USTEDES insuflaron de distintas maneras a lo largo  de todos  estos años. Gratis no es.,"El texto critica el rechazo que sufrió una niña por ser de origen chino, y acusa a los demás de odio y racismo. La respuesta final es ""racismo"""
316,China lanzó una peligrosa venganza por los reportes sobre la eficacia de una de sus vacunas https://t.co/65PypL41wL,@usuario Malditos 🇨🇳,"El texto utiliza un término negativo (malditos) para referirse a los chinos. La respuesta final es ""racismo""."
614,"Romina Manguel apuntó contra Susana Giménez: ""Mucha gente la quiere y a mí me incomoda"" https://t.co/kyczDYLGfZ",@usuario Romina buscate un novio. No seas rencorosa.,"El texto menciona a Romina Manguel y le hace una recomendación, pero no tiene ninguna declaración de rechazo o aborrecimiento hacia ella ni hacia ningún grupo protegido. La respuesta final es 'nada'."
